model_idx,accuracy,macro_avg_precision,macro_avg_recall,macro_avg_f1
1,0.8915502328675982,0.8668208945899467,0.7850204773687263,0.8218439899676176
2,0.8928809048569527,0.8636604526786097,0.7853044875930945,0.8204333378641103
3,0.8922155688622755,0.8654476799645138,0.7864883377565365,0.8219637971475979
4,0.89354624085163,0.863508206634269,0.7858734908908067,0.8207570371913199
5,0.8942115768463074,0.8703723165656697,0.7880152071558243,0.8249804403773334
6,0.8948769128409847,0.8692786107458229,0.7972614226869018,0.8302220709592573
7,0.8902195608782435,0.8598102714540481,0.7805050599816206,0.8162139764629295
8,0.8908848968729208,0.8666625555081369,0.7803813741436489,0.8192495257611684
9,0.8922155688622755,0.8637503557075263,0.7865893362428553,0.82133861166444
10,0.8908848968729208,0.8600736788362544,0.7831548209265087,0.8176151511190329
